Volumen;Flaeche;Hoehe;Stellplaetze, Garagen, Parkgebäude;Geschosse;Vorbauten;Einfriedungen;Nutzung/Widmung;Grossbauvorhaben, Hochhaeuser, Einkaufszentren, Geschaeftsgebaeude;Laubengaenge, Durchfahrten, Arkaden;Ausgestaltung und Sonstiges;Dach;Strassen und Gehsteige;Lage, Gelaende, Planzeichen;Meta
VolumenUndUmbaubarerRaum;Flaechen;BauklasseVIHoeheMin;StellplatzregulativVorhanden;MaxAnzahlGeschosseOberirdisch;VorbautenVerbot;EinfriedungZulaessig;VerbotBueroGeschaeftsgebaeude;BestimmmungenFuerHochhausUndGrossbauvorhaben;LaubengangHoehe;Massengliederung;BegruenungDach;StrassenbreiteMin;PlangebietAllgemein;WeitereBestimmungPruefungErforderlich
;;BauklasseVIHoeheMax;StellplatzregulativUmfangMinimumRelativ;MaxAnzahlDachgeschosse;VorbautenBeschraenkung;EinfriedungLage;VerbotWohnung;HochhausZulaessigGemaessBB;LaubengangLaenge;UnterbrechungGeschlosseneBauweise;DachneigungMax;OeffentlicheVerkehrsflaecheBreiteMin;VerkehrsflaecheID;N/A
;;HoehenlageGrundflaeche;StellplatzregulativUmfangMaximumRelativ;MaxAnzahlGeschosseOberirdischOhneDachgeschoss;VorstehendeBauelementeAusladungMax;EinfriedungAusgestaltung;VerbotAufenthaltsraum;Geschaeftsstrassen;DurchfahrtHoehe;BegruenungFront;DachneigungMin;GehsteigbreiteMin;InSchutzzone;AusnahmePruefungErforderlich
;;MaxHoeheWohngebaeude;StellplatzregulativUmfangMaximumAbsolut;Stockwerk;;EinfriedungHoeheSockel;WidmungUndZweckbestimmung;;DurchgangHoehe;AnordnungGaertnerischeAusgestaltung;AbschlussDachMaxBezugGebaeude;StrassenbreiteMax;Planzeichen;ZuVorherigemSatzGehoerig
;;MindestraumhoeheEG;StellplatzverpflichtungArt;UnterirdischeBaulichkeiten;;EinfriedungHoeheGesamt;WidmungInMehrerenEbenen;;DurchgangBreite;VerbotUnterirdischeBauwerkeUeberBaufluchtlinie;Dachart;StrassenbreiteVonBis;GelaendeneigungMin;StrittigeBedeutung
;;FBOKMinimumWohnungen;GaragengebaeudeAusfuehrung;ZulaessigeGeschossanzahlEinkaufszentrum;;;AusnuetzbarkeitWidmungskategorieGefoerderterWohnbau;;ArkadeHoehe;Kleinhaeuser;AbschlussDachMaxBezugGelaende;;Struktureinheit;Segmentierungsfehler
;;GebaeudeHoeheArt;StellplatzMax;;;;AusnahmeVonWohnungenUnzulaessig;;ArkadeLaenge;VerbotFensterZuOeffentlichenVerkehrsflaechen;AnteilDachbegruenung;;AnFluchtlinie;
;;GebaeudeHoeheMax;GebaeudeEinschraenkungP;;;;;;DurchfahrtBreite;Einbautrasse;DachflaecheMin;;AnOeffentlichenVerkehrsflaechen;
;;Bauklasse;VerbotStellplaetzeUndParkgebaeude;;;;;;;ErrichtungGebaeude;;;;
;;GebaeudeHoeheMin;OberflaecheBestimmungP;;;;;;;GebaeudeBautyp;;;;
;;;StellplatzImNiveauZulaessig;;;;;;;BauweiseID;;;;
;;;AnlageZumEinstellenVorhanden;;;;;;;AnteilBaumbepflanzung;;;;
;;;;;;;;;;AufbautenZulaessig;;;;
;;;;;;;;;;TechnischeAufbautenHoeheMax;;;;
;;;;;;;;;;VonBebauungFreizuhalten;;;;
;;;;;;;;;;AusnahmeGaertnerischAuszugestaltende;;;;
;;;;;;;;;;VerbotStaffelung;;;;
;;;;;;;;;;VorkehrungBepflanzung;;;;
;;;;;;;;;;AnzahlGebaeudeMax;;;;
;;;;;;;;;;AnordnungGaertnerischeAusgestaltungProzentual;;;;
;;;;;;;;;;EinleitungNiederschlagswaesser;;;;
